input.sentences,output.sentences,persona.age
others look like pom-poms .,Some displays look like pom poms.,55-74
reinforcements are sent to help the soldier .,The dog was ready to go.,25-34
here we go !,I hope I don't regret this.,35-44
there were people dressed up in traditional clothing doing irish jigs .,The traditional people were the jigs.,35-44
the entire group sat and posed for a photo .,He had a great time on the hike.,25-34
looks like one organization fan showed up and gave a rude gesture .,There were some in the crowd who had other ideas and made extremely rude gestures.,55-74
she stepped up to receive her award and she was so excited .,She almost missed it when her name was finally announced; this moment was hard-won.,25-34
they were finally going to their homeland .,"My, look at that island.",25-34
i made sure to prepare a lot of food for tonight .,The man prepared the wine for his guests.,18-24
this is a picture of snow .,This is a picture of snow but I have know idea why I took it or when.,35-44
[male] was riding leasuirly .,Here's a picture of me almost to the finish line.,25-34
we gladly flew the british flag for this beauty ...,Who knew flags could fly in the snow?,55-74
drinks were served .,THey held a big party every halloween.,18-24
a happy couple is watching the event .,They were watching and happy at the event.,18-24
and they made paths so that they could get there .,There are paths that lead to deeper structures.,45-54
it made the buildings stand out and look really interesting .,I was sad that we had to leave.,25-34
the construction has started on refurbishing the old cottage .,We will refurbish the old cottage,45-54
the host and his guests dance to the music .,The guests enjoyed the music.,45-54
we had some refreshments while we were there .,"""Hey guys,"" I yell to a few strangers, ""What's an old gal gotta do to get a beer around here?""",45-54
it had many large headstones too .,"Luckily, we had already looked at headstones and picked his out.",18-24
the kids were all ready for the parade .,The kids are sitting in the grass at a function.,35-44
we bonded and played in the woods .,We saw our shadows during the trek.,55-74
the finale is always the best part of a fireworks display .,The finale fireworks display is always breath taking.,55-74
it had been a long trip .,It had been a long trip and the people aboard were glad to be heading home.,35-44
acting goofy lost in conversation,His mom was so proud of him.,35-44
when i was little | i lived next to the water .,So many of the image links were broken.,25-34
close up shot of the flowers .,"She ran into this hedge, and I looked for her, but all to no avail.",35-44
it was an opportunity for photographs .,They took photographs at every opportunity.,35-44
he also had on some nice shoes .,The shoes are very nice.,35-44
the clouds offered contrast to the treeline .,He had a great time on the hike.,25-34
uh-oh | it looks like uncle [male] had a little too much to drink again .,Alice and John came as a hooker and cop.,55-74
i made a ton of sweets for them .,There were a ton of delicious looking sweets!,45-54
[male] saw the financial riches of the church | saw the homeless outside in the busy city | and felt restless .,The male looks restless at the riches.,18-24
even though it was pretty hot out the concert was great .,It was pretty hot at the concert.,25-34
i had a great time there and we saluted it .,"Time seemed to stand still as the bugler played, and everyone saluted.",35-44
the newlyweds are all smiles .,A happy couple on their wedding day.,25-34
first we came to a building that had purple flowers growing outside .,Doug was ready to start his day.,25-34
we went to the airport and took pictures of various planes .,Air Tran prepared for lift off.,25-34
there was an otter family in the waters nearby .,The seals spend their day at the beach.,25-34
we marched all the way to the capital building,People protested at the White House.,18-24
afterward we went back home .,They go home afterward.,18-24
i ca n't wait for next year .,"Though there were some times where people had to wait, hopefully it comes to ca soon.",25-34
